n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
160,0.2145178923878276,0.5144532625728164,0.6549522358144216,0.3453289354800919,76.51841149231238,47.533139206464426,1.5020483435779413,1.0773231981768576,160,-3.6379424351679095,150.0,,,31.89525622408837,104.60763472225516,859.4861462367699,62778,0.0136908812997669,2.060279486670192,20.000000000000004,6,58,1568.955507516861
170,0.2127576401372874,0.5156061437199051,0.6549522358144216,0.342495297553254,79.9575326574791,49.66951686909,1.2368143838220351,1.044139073971665,170,-3.6379424351679095,160.0,,,33.2963246172294,36.509864387102425,893.4784497562796,65518,0.0136371447503934,1.645681994906929,20.000000000000004,6,58,1568.955507516861
180,0.2103326224025158,0.5171944145071834,0.6549522358144216,0.3385915262475252,83.362966776483,51.78496818178902,1.7799576767243928,1.0855135672856746,180,-7.905675068218048,170.0,,,38.05786581337452,13.719170667231085,905.5313085466624,66628,0.013590852322547,1.6724603368267017,20.000000000000004,6,58,1568.955507516861
190,0.2103326224025158,0.5171944145071834,0.6549522358144216,0.3385915262475252,86.74888203895826,53.88829440581418,1.7799576767243928,1.0855135672856746,190,-7.905675068218048,180.0,,,40.498587714508176,128.4556826725602,1029.7932375967505,73020,0.0141028928731409,1.350370621440637,20.000000000000004,6,58,1568.955507516861
200,0.2080402439436658,0.51869581290414,0.6549522358144216,0.3349012764315285,90.11634605235352,55.98015873754509,1.6473656967597257,1.0415412005883569,200,-7.905675068218048,190.0,,,43.47741927951574,32.101794162765145,1059.4285600706935,75434,0.0140444436205251,1.4596127893678454,20.00000000000001,6,58,1568.955507516861
30,0.5926042889878593,0.2668247317886075,0.6549522358144216,1.0,0.0,0.0,3.699604296471626,0.8201290591777262,30,-3.561040025486759,,,,,,0.0,0,,,,7,59,1584.122747182846
40,0.3887562509443828,0.4003354600715657,0.6549522358144216,0.6560132252980492,8.280066126490247,4.906802699661211,3.0298451898134537,1.1047478512394555,40,-3.561040025486759,30.0,,,11.131854690611362,58.75796618312597,54.75126338284463,5152,0.0106271862156142,11.101561093274436,20.000000000000004,7,59,1584.122747182846
50,0.3658246694832194,0.4153545506203152,0.6549522358144216,0.6173169453566242,14.646716979763614,8.679707301799223,2.7099617558247138,1.0232264958184802,50,-3.561040025486759,40.0,,,12.675513646565378,71.02653388213366,121.70728523749858,10356,0.0117523450403146,15.221282493923477,20.000000000000004,7,59,1584.122747182846
60,0.3461100875290067,0.4282666601493735,0.6549522358144216,0.5840492449356832,20.65354793122515,12.239381086860352,2.5883853237273886,1.1232612894988427,60,-3.561040025486759,50.0,,,14.093983041122556,74.594701400958,192.19827802106735,15632,0.012295181552013,12.534416883413684,20.000000000000004,7,59,1584.122747182846
70,0.2192391223603612,0.5113610824465115,0.6549522358144216,0.3699587168611478,25.423587740209307,15.066127136307191,2.463097907079701,1.0440044591631323,70,-3.561040025486759,60.0,,,16.04817000683397,77.54555375501513,265.7178850993514,20939,0.0126900943263456,13.250199259641368,20.000000000000004,7,59,1584.122747182846
